#;Name;Market Cap;Price;Volume (24h);Circulating Supply;Change (24h)
1;Bitcoin;$145,430,576,746;$8,190.93;$19,538,455,084;17,755,075 BTC;4.52%
2;Ethereum;$27,516,432,934;$258.46;$8,437,297,864;106,461,022 ETH;6.79%
3;XRP;$17,010,799,001;$0.402728;$1,235,395,997;42,238,947,941 XRP *;3.04%
4;Litecoin;$8,814,551,371;$141.73;$6,057,900,810;62,192,076 LTC;8.47%
5;Bitcoin Cash;$7,075,264,143;$396.73;$1,439,348,285;17,834,163 BCH;2.78%
6;EOS;$5,924,570,999;$6.45;$2,173,677,974;918,827,878 EOS *;2.81%
7;Binance Coin;$4,793,963,311;$33.96;$461,329,157;141,175,490 BNB *;7.08%
8;Bitcoin SV;$3,408,760,549;$191.16;$419,316,992;17,831,823 BSV;3.22%
9;Tether;$3,384,094,609;$1.01;$19,225,690,264;3,354,430,819 USDT *;0.45%
10;Cardano;$2,463,456,349;$0.095015;$251,523,164;25,927,070,538 ADA;12.60%
11;Stellar;$2,453,294,779;$0.126789;$459,438,530;19,349,417,441 XLM *;5.03%
12;TRON;$2,210,227,550;$0.033146;$747,328,069;66,682,072,191 TRX;8.48%
13;Monero;$1,534,540,757;$90.07;$159,053,622;17,037,523 XMR;3.99%
14;Dash;$1,344,520,573;$151.73;$378,061,173;8,861,459 DASH;4.43%
15;IOTA;$1,233,798,472;$0.443887;$37,451,018;2,779,530,283 MIOTA *;6.20%
16;Cosmos;$1,185,906,282;$6.22;$60,240,328;190,688,439 ATOM *;5.64%
17;Ethereum Classic;$958,828,482;$8.63;$657,465,453;111,160,238 ETC;5.87%
18;NEO;$916,001,155;$12.99;$537,175,522;70,538,831 NEO *;8.05%
19;Tezos;$839,488,050;$1.27;$5,250,894;660,323,506 XTZ *;2.40%
20;NEM;$777,602,120;$0.086400;$30,656,518;8,999,999,999 XEM *;4.74%
21;Maker;$742,222,569;$742.22;$6,415,725;1,000,000 MKR *;5.01%
22;Ontology;$716,779,200;$1.45;$143,814,211;494,757,215 ONT *;1.84%
23;Zcash;$598,211,203;$88.77;$388,190,232;6,738,894 ZEC;12.60%
24;Crypto.com Chain;$472,437,487;$0.068270;$2,168,370;6,920,091,324 CRO *;2.57%
25;Bitcoin Gold;$462,827,776;$26.43;$31,281,665;17,513,924 BTG;4.54%
26;VeChain;$429,392,473;$0.007743;$17,868,559;55,454,734,800 VET *;3.62%
27;Basic Attention Token;$426,668,355;$0.336240;$39,731,813;1,268,938,630 BAT *;3.50%
28;Chainlink;$401,731,842;$1.15;$22,434,319;350,000,000 LINK *;2.46%
29;Dogecoin;$369,301,100;$0.003080;$69,888,322;119,906,315,062 DOGE;2.14%
30;USD Coin;$340,623,413;$1.00;$99,515,933;340,113,780 USDC *;0.14%
31;Qtum;$311,505,381;$3.25;$192,140,171;95,789,368 QTUM *;4.74%
32;OmiseGO;$287,954,805;$2.05;$126,044,207;140,245,398 OMG *;5.41%
33;Decred;$282,666,842;$28.49;$1,913,220;9,922,039 DCR;3.84%
34;BitTorrent;$264,744,711;$0.001248;$60,306,515;212,116,500,000 BTT *;5.10%
35;Holo;$249,663,187;$0.001874;$26,165,200;133,214,575,156 HOT *;1.46%
36;TrueUSD;$249,200,589;$1.00;$197,378,095;248,354,978 TUSD *;0.18%
37;Waves;$245,609,532;$2.46;$35,208,259;100,000,000 WAVES *;4.12%
38;Lisk;$245,287,928;$2.08;$9,220,533;117,669,941 LSK *;4.76%
39;Ravencoin;$244,403,445;$0.065271;$18,193,199;3,744,445,000 RVN;1.77%
40;Aurora;$240,643,945;$0.036783;$2,175,398;6,542,330,148 AOA *;7.83%
41;Bitcoin Diamond;$231,158,526;$1.24;$4,384,218;186,492,898 BCD;4.17%
42;Nano;$212,100,303;$1.59;$12,669,918;133,248,297 NANO *;3.55%
43;Augur;$205,701,305;$18.70;$12,849,685;11,000,000 REP *;0.80%
44;Pundi X;$204,510,170;$0.000863;$7,897,422;236,950,087,583 NPXS *;2.07%
45;0x;$198,961,601;$0.332854;$26,746,036;597,744,925 ZRX *;3.54%
46;Zilliqa;$198,556,554;$0.022856;$54,206,684;8,687,360,058 ZIL *;-1.74%
47;Komodo;$192,997,277;$1.69;$912,397;114,438,855 KMD;7.66%
48;ICON;$188,583,356;$0.398354;$18,368,536;473,406,688 ICX *;7.19%
49;Bytecoin;$176,197,945;$0.000957;$147,213;184,066,828,814 BCN;4.56%
50;Paxos Standard Token;$175,331,639;$1.00;$171,983,785;174,764,918 PAX *;1.04%
51;Huobi Token;$170,458,680;$3.41;$109,447,420;50,000,200 HT *;2.46%
52;BitShares;$168,906,420;$0.061966;$9,764,928;2,725,770,000 BTS *;2.21%
53;DigiByte;$151,806,378;$0.012752;$3,330,707;11,904,165,863 DGB;1.00%
54;Verge;$143,343,843;$0.009094;$3,571,662;15,762,158,459 XVG;1.53%
55;Qubitica;$141,596,060;$50.41;$185,830;2,808,620 QBIT *;6.37%
56;Bytom;$140,962,705;$0.140611;$14,290,508;1,002,499,275 BTM;3.31%
